,顏色,單價,成本,系列,產品,訂單時間,性別,年紀,廣告代號all,尺寸,訂單編號,去識別化會員編碼
8792,trigrayblack,885.0,470.0,系列50,產品50-11,2016-01-22T15:35:49,FEMALE,30.0,廣告_ikip_POD,M,166314,L_CBY_03128
8793,creamywhite,887.0,676.0,系列50,產品50-7,2016-01-22T15:35:49,FEMALE,30.0,廣告_ikip_POD,M,166314,L_CBY_03128
8794,irontrigray,780.0,416.0,系列97,產品97-3,2016-01-22T15:35:49,FEMALE,30.0,廣告_ikip_POD,XL,166314,L_CBY_03128
8795,gray,1135.0,719.0,系列5,產品5-7,2016-11-29T15:16:52,FEMALE,30.0,廣告_自然流量,XL,252138,L_CBY_03128
8796,navyblue,1135.0,719.0,系列75,產品75-7,2016-11-29T15:16:52,FEMALE,30.0,廣告_自然流量,XL,252138,L_CBY_03128
8797,gray,1265.0,719.0,系列99,產品99-7,2016-11-29T15:16:52,FEMALE,30.0,廣告_自然流量,XL,252138,L_CBY_03128
8798,black,1045.0,816.0,系列1,產品1-6,2016-02-11T14:24:34,FEMALE,24.0,廣告_自然流量,M,171831,L_CBY_02615
8799,black,1045.0,816.0,系列1,產品1-9,2016-02-11T14:24:34,FEMALE,24.0,廣告_自然流量,M,171831,L_CBY_02615
8800,navy,1313.0,696.0,系列1,產品1-33,2017-11-26T06:02:09,FEMALE,24.0,廣告_KDP_D,M,384114,L_CBY_02615
8801,navyblue,985.0,541.0,系列87,產品87-31,2017-11-26T06:02:09,FEMALE,24.0,廣告_KDP_D,L,384114,L_CBY_02615
8802,babypink,1313.0,679.0,系列2,產品2-34,2017-11-26T06:02:09,FEMALE,24.0,廣告_KDP_D,L,384114,L_CBY_02615
8803,,656.0,428.0,系列2,產品2-35,2018-01-16T04:39:24,FEMALE,24.0,廣告_自然流量,無,395496,L_CBY_02615
8804,babypink,1148.0,679.0,系列76,產品76-34,2018-01-16T04:39:24,FEMALE,24.0,廣告_自然流量,L,395496,L_CBY_02615
8805,,1135.0,561.0,系列1,產品1-54,2018-06-28T14:55:37,FEMALE,24.0,廣告_自然流量,M,445677,L_CBY_02615
8806,,1135.0,561.0,系列1,產品1-54,2018-06-28T14:55:37,FEMALE,24.0,廣告_自然流量,L,445677,L_CBY_02615
8807,babypink,1061.0,426.0,系列43,產品43-12,2018-06-30T09:29:24,FEMALE,24.0,廣告_B2KP_D,L,447126,L_CBY_02615
8808,,806.0,311.0,系列43,產品43-35,2018-06-30T09:29:24,FEMALE,24.0,廣告_B2KP_D,無,447126,L_CBY_02615
8809,,971.0,544.0,系列1,產品1-62,2019-03-12T12:36:45,FEMALE,24.0,廣告_自然流量,S,541059,L_CBY_02615
8810,,971.0,530.0,系列1,產品1-63,2019-03-12T12:36:45,FEMALE,24.0,廣告_自然流量,M,541059,L_CBY_02615
8811,,656.0,387.0,系列7,產品7-1,2017-08-30T02:34:33,FEMALE,32.0,廣告_自然流量,無,351912,L_CBY_01493
8812,,410.0,137.0,系列7,產品7-2,2017-08-30T02:34:33,FEMALE,32.0,廣告_自然流量,無,351912,L_CBY_01493
8813,,428.0,137.0,系列23,產品23-2,2017-08-30T02:34:33,FEMALE,32.0,廣告_自然流量,無,351912,L_CBY_01493
8814,,722.0,380.0,系列1,產品1-1,2019-01-21T06:33:42,MALE,,廣告_KDMP_D,無,525306,L_CBY_02647
8815,skyblue,1061.0,433.0,系列95,產品95-3,2019-08-19T15:27:05,MALE,,廣告_KBDG_P,M,588216,L_CBY_02647
8816,skyblue,1061.0,433.0,系列95,產品95-12,2019-08-19T15:27:05,MALE,,廣告_KBDG_P,L,588216,L_CBY_02647
8817,irontrigray,916.0,419.0,系列7,產品7-12,2016-10-12T10:12:17,MALE,,廣告_自然流量,M,241911,L_CBY_01696
8818,whitetrigray,842.0,441.0,系列31,產品31-14,2016-10-12T10:12:17,MALE,,廣告_自然流量,M,241911,L_CBY_01696
8819,creamywhite,1464.0,795.0,系列4,產品4-6,2016-11-10T15:14:20,FEMALE,32.0,廣告_KDPOD_hime,XS,248346,L_CBY_01832
8820,white,898.0,423.0,系列6,產品6-22,2016-11-10T15:14:20,FEMALE,32.0,廣告_KDPOD_hime,S,248346,L_CBY_01832
8821,creamywhiteburgundy,1137.0,480.0,系列4,產品4-11,2017-09-13T13:35:09,FEMALE,32.0,廣告_GINEP_D,S,357384,L_CBY_01832
8822,babypink,821.0,424.0,系列98,產品98-18,2017-09-13T13:35:09,FEMALE,32.0,廣告_GINEP_D,S,357384,L_CBY_01832
8823,,428.0,137.0,系列98,產品98-2,2017-09-13T13:35:09,FEMALE,32.0,廣告_GINEP_D,無,357384,L_CBY_01832
8824,,821.0,301.0,系列2,產品2-105,2018-07-22T13:31:09,FEMALE,32.0,廣告_edm_D,S,455562,L_CBY_01832
8825,navyblue,1028.0,439.0,系列16,產品16-12,2018-02-19T03:35:04,FEMALE,28.0,廣告_自然流量,L,407241,L_CBY_01022
8826,gray,1028.0,426.0,系列22,產品22-12,2018-02-19T03:35:04,FEMALE,28.0,廣告_自然流量,L,407241,L_CBY_01022
8827,white,821.0,387.0,系列48,產品48-3,2017-03-26T07:12:14,FEMALE,24.0,廣告_自然流量,XXL,284181,L_CBY_04826
8828,,592.0,309.0,系列48,產品48-16,2017-03-26T07:12:14,FEMALE,24.0,廣告_自然流量,無,284181,L_CBY_04826
8829,,740.0,451.0,系列48,產品48-1,2017-03-26T07:12:14,FEMALE,24.0,廣告_自然流量,無,284181,L_CBY_04826
8830,white,985.0,398.0,系列69,產品69-3,2018-08-31T11:04:41,FEMALE,24.0,廣告_自然流量,XL,470562,L_CBY_04826
8831,white,985.0,398.0,系列69,產品69-3,2018-08-31T11:04:41,FEMALE,24.0,廣告_自然流量,XL,470562,L_CBY_04826
8832,,1135.0,411.0,系列14,產品14-35,2019-04-08T01:53:30,FEMALE,,廣告_自然流量,無,547812,L_CBY_01480
8833,tiffanygreen,910.0,419.0,系列47,產品47-12,2016-05-01T07:16:50,,30.0,廣告_qdwit_pid,L,190866,L_CBY_04749
8834,irontrigray,910.0,419.0,系列65,產品65-12,2016-05-01T07:16:50,,30.0,廣告_qdwit_pid,L,190866,L_CBY_04749
8835,navyblue,910.0,419.0,系列31,產品31-12,2016-05-01T07:16:50,,30.0,廣告_qdwit_pid,L,190866,L_CBY_04749
8836,irontrigray,916.0,419.0,系列16,產品16-12,2016-08-05T18:17:24,FEMALE,30.0,廣告_qdwit_pid,M,222213,L_CBY_04842
8837,gray,842.0,401.0,系列16,產品16-19,2016-08-05T18:17:24,FEMALE,30.0,廣告_qdwit_pid,F,222213,L_CBY_04842
8838,navyblue,897.0,419.0,系列12,產品12-12,2017-01-17T01:44:50,FEMALE,30.0,廣告_自然流量,L,264699,L_CBY_04842
8839,black,795.0,419.0,系列12,產品12-12,2017-01-17T01:44:50,FEMALE,30.0,廣告_自然流量,L,264699,L_CBY_04842
8840,armygreen,1734.0,839.0,系列1,產品1-6,2017-12-11T12:39:58,FEMALE,30.0,廣告_自然流量,L,388044,L_CBY_04842
8841,,461.0,153.0,系列1,產品1-35,2019-09-09T20:18:35,FEMALE,30.0,廣告_B2KDG_mp,無,593601,L_CBY_04842
8842,creamywhiteburgundy,985.0,498.0,系列3,產品3-11,2017-03-28T15:35:56,MALE,26.0,廣告_B2KP_D,M,285654,L_CBY_04247
8843,trigrayblack,985.0,470.0,系列3,產品3-14,2017-03-28T15:35:56,MALE,26.0,廣告_B2KP_D,XL,285654,L_CBY_04247
8844,black,1028.0,436.0,系列3,產品3-12,2017-03-28T15:35:56,MALE,26.0,廣告_B2KP_D,XL,285654,L_CBY_04247
8845,gray,1135.0,661.0,系列3,產品3-13,2018-01-29T16:01:50,MALE,26.0,廣告_critei_critei,XL,399537,L_CBY_04247
8846,gray,1464.0,824.0,系列3,產品3-9,2018-01-29T16:01:50,MALE,26.0,廣告_critei_critei,XL,399537,L_CBY_04247
8847,,1135.0,441.0,系列3,產品3-35,2018-11-15T16:13:46,MALE,26.0,廣告_B2KMP_P,無,498024,L_CBY_04247
8848,,1135.0,441.0,系列3,產品3-35,2018-11-15T16:13:46,MALE,26.0,廣告_B2KMP_P,無,498024,L_CBY_04247
8849,gray,1105.0,426.0,系列2,產品2-12,2017-09-22T16:18:58,FEMALE,28.0,廣告_ikip_ctq,L,362043,L_CBY_02185
8850,gray,821.0,424.0,系列2,產品2-29,2017-09-22T16:18:58,FEMALE,28.0,廣告_ikip_ctq,S,362043,L_CBY_02185
8851,,406.0,137.0,系列72,產品72-2,2017-11-14T13:58:33,MALE,26.0,廣告_edmP_,無,380586,L_CBY_00888
8852,creamywhiteburgundy,1066.0,426.0,系列21,產品21-14,2017-11-14T13:58:33,MALE,26.0,廣告_edmP_,L,380586,L_CBY_00888
8853,creamywhite,923.0,538.0,系列57,產品57-32,2017-11-14T13:58:33,MALE,26.0,廣告_edmP_,L,380586,L_CBY_00888
8854,skyblue,790.0,433.0,系列10,產品10-29,2019-03-01T02:07:04,,42.0,廣告_KDP_D,S,538272,L_CBY_02259
8855,babypink,790.0,433.0,系列10,產品10-29,2019-03-01T02:07:04,,42.0,廣告_KDP_D,S,538272,L_CBY_02259
8856,,806.0,806.0,系列8,產品8-76,2016-03-12T12:43:01,FEMALE,,廣告_qdwit_pid,無,178257,L_CBY_04930
8857,,971.0,383.0,系列14,產品14-132,2019-04-08T16:14:15,,28.0,廣告_B2KDG_P,XS,548793,L_CBY_02864
8858,black,985.0,433.0,系列13,產品13-3,2019-04-08T16:14:15,,28.0,廣告_B2KDG_P,XS,548793,L_CBY_02864
8859,,971.0,383.0,系列14,產品14-132,2019-04-30T02:16:20,,28.0,廣告_自然流量,M,557055,L_CBY_02864
8860,black,985.0,433.0,系列13,產品13-3,2019-04-30T02:16:20,,28.0,廣告_自然流量,M,557055,L_CBY_02864
8861,tiffanygreen,910.0,419.0,系列47,產品47-3,2016-05-26T09:43:53,FEMALE,38.0,廣告_critei_critei,M,198561,L_CBY_01994
8862,jeanblue,949.0,454.0,系列164,產品164-3,2016-05-26T09:43:53,FEMALE,38.0,廣告_critei_critei,M,198561,L_CBY_01994
8863,lemonyellow,910.0,419.0,系列609,產品609-3,2016-05-26T09:43:53,FEMALE,38.0,廣告_critei_critei,M,198561,L_CBY_01994
8864,armygreen,1313.0,696.0,系列47,產品47-34,2017-11-24T13:37:44,FEMALE,38.0,廣告_自然流量,M,383559,L_CBY_01994
8865,navy,1313.0,696.0,系列37,產品37-34,2017-11-24T13:37:44,FEMALE,38.0,廣告_自然流量,M,383559,L_CBY_01994
8866,creamywhite,905.0,630.0,系列8,產品8-87,2017-11-24T13:37:44,FEMALE,38.0,廣告_自然流量,M,383559,L_CBY_01994
8867,,2630.0,1742.0,系列8,產品8-36,2018-08-26T00:46:23,FEMALE,28.0,廣告_KDMK_D,無,468312,L_CBY_03598
8868,,1135.0,737.0,系列2,產品2-35,2019-07-25T02:14:45,FEMALE,28.0,廣告_edmMP_D,無,581439,L_CBY_03598
8869,,1135.0,441.0,系列2,產品2-122,2019-07-25T02:14:45,FEMALE,28.0,廣告_edmMP_D,XL,581439,L_CBY_03598
8870,,740.0,345.0,系列2,產品2-36,2019-07-25T02:14:45,FEMALE,28.0,廣告_edmMP_D,無,581439,L_CBY_03598
8871,navyblue,910.0,416.0,系列9,產品9-3,2016-04-25T09:32:22,FEMALE,26.0,廣告_自然流量,M,189390,L_CBY_02188
8872,gray,910.0,416.0,系列9,產品9-12,2016-04-25T09:32:22,FEMALE,26.0,廣告_自然流量,M,189390,L_CBY_02188
8873,navyblue,985.0,433.0,系列2,產品2-12,2018-09-20T15:39:10,FEMALE,30.0,廣告_自然流量,M,475875,L_CBY_00464
8874,babypink,985.0,433.0,系列2,產品2-18,2018-09-20T15:39:10,FEMALE,30.0,廣告_自然流量,M,475875,L_CBY_00464
8875,navyblue,985.0,424.0,系列2,產品2-18,2018-09-20T15:39:10,FEMALE,30.0,廣告_自然流量,M,475875,L_CBY_00464
8876,navyblue,985.0,433.0,系列2,產品2-12,2018-09-20T15:39:10,FEMALE,30.0,廣告_自然流量,M,475875,L_CBY_00464
8877,babypink,985.0,433.0,系列2,產品2-3,2018-09-20T15:39:10,FEMALE,30.0,廣告_自然流量,M,475875,L_CBY_00464
8878,creamywhite,1012.0,785.0,系列1,產品1-6,2016-02-20T06:57:49,FEMALE,22.0,廣告_自然流量,M,173610,L_CBY_03957
8879,,419.0,214.0,系列2,產品2-35,2017-12-26T16:20:43,FEMALE,22.0,廣告_KDP_P,無,391980,L_CBY_03957
8880,,806.0,564.0,系列8,產品8-35,2019-03-07T01:46:48,FEMALE,24.0,廣告_KDMK_D,無,539973,L_CBY_01121
8881,,327.0,230.0,系列8,產品8-35,2019-03-07T01:46:48,FEMALE,24.0,廣告_KDMK_D,無,539973,L_CBY_01121
8882,,419.0,211.0,系列157,產品157-38,2016-01-31T06:31:37,FEMALE,26.0,廣告_qdwit_pid,無,169488,L_CBY_03342
8883,,419.0,211.0,系列234,產品234-38,2016-01-31T06:31:37,FEMALE,26.0,廣告_qdwit_pid,無,169488,L_CBY_03342
8884,creamywhite,1610.0,775.0,系列3,產品3-6,2018-01-31T15:48:55,MALE,30.0,廣告_B2KP_D,S,401382,L_CBY_01603
8885,creamywhite,1464.0,775.0,系列3,產品3-9,2018-01-31T15:48:55,MALE,30.0,廣告_B2KP_D,M,401382,L_CBY_01603
8886,black,1135.0,673.0,系列69,產品69-7,2018-11-20T05:19:14,FEMALE,,廣告_自然流量,L,500604,L_CBY_04363
8887,gray,1629.0,827.0,系列69,產品69-6,2018-11-20T05:19:14,FEMALE,,廣告_自然流量,L,500604,L_CBY_04363
8888,white,821.0,370.0,系列19,產品19-3,2017-03-12T07:34:54,FEMALE,26.0,廣告_KDP_D,XS,279219,L_CBY_02802
8889,gray,821.0,419.0,系列19,產品19-3,2017-03-12T07:34:54,FEMALE,26.0,廣告_KDP_D,M,279219,L_CBY_02802
8890,hamred,821.0,419.0,系列12,產品12-3,2017-03-12T07:34:54,FEMALE,26.0,廣告_KDP_D,S,279219,L_CBY_02802
8891,skyblue,1028.0,426.0,系列6,產品6-3,2017-09-20T14:28:57,FEMALE,26.0,廣告_KDP_D,S,359805,L_CBY_02802
8892,red,1028.0,443.0,系列6,產品6-3,2017-09-20T14:28:57,FEMALE,26.0,廣告_KDP_D,S,359805,L_CBY_02802
8893,eggyellow,1028.0,426.0,系列24,產品24-3,2017-09-20T14:28:57,FEMALE,26.0,廣告_KDP_D,S,359805,L_CBY_02802
8894,white,821.0,377.0,系列146,產品146-12,2017-09-20T14:28:57,FEMALE,26.0,廣告_KDP_D,S,359805,L_CBY_02802
8895,red,1135.0,676.0,系列21,產品21-13,2018-01-27T10:43:25,MALE,34.0,廣告_KDP_P,M,398292,L_CBY_01573
8896,creamywhite,1135.0,610.0,系列21,產品21-13,2018-01-27T10:43:25,MALE,34.0,廣告_KDP_P,L,398292,L_CBY_01573
8897,jeanblue,975.0,426.0,系列21,產品21-12,2018-01-27T10:43:25,MALE,34.0,廣告_KDP_P,M,398292,L_CBY_01573
8898,skyblue,975.0,424.0,系列21,產品21-12,2018-01-27T10:43:25,MALE,34.0,廣告_KDP_P,L,398292,L_CBY_01573
